LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,IMD,V13,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V22,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V30,FAC1_1,FAC2_1,FAC3_1
E01000001,City of London 001A,E09000001,City of London,.022,.089,.003,.304,.338,28.866,35.272,64.894, ,8.53514892844076,3.49874931243919,.529091763530529,9.2137343677011,5.26242890872336,15.1580137252886,1.62265269057124,.339168287582389, ,76.8163403559823,31.4887438119315,36.8549374708044,21.0497156348934,60.6320549011545,3.11303772507897,2.37417801307657, ,-1.23163079072627,-.513972703512605,.861870017790193
E01000002,City of London 001B,E09000001,City of London,.045,.106,.006,.288,.284,27.319,38.868,66.916, ,8.05472923222443,3.15907739454229,.520153426502857,8.33741222928317,5.35177392484695,14.3584663643274,1.69282162028755,.429260856831422, ,72.4925630900178,28.4316965508693,33.3496489171327,21.4070956993878,57.4338654573099,3.2338220110652,3.0048259978199, ,-2.28362921673341,-.495168022440316,.466340207266794
E01000003,City of London 001C,E09000001,City of London,14.094,13.424,8.816,23.327,2.625,39.162,55.171,156.619, ,8.15375661668558,3.37578808144601,.486433667717193,9.41493674390773,5.02951922530842,15.8202544442556,1.52252271823704,.521809959675153, ,73.3838095501767,30.3820927329935,37.6597469756309,20.1180769012336,63.2810177770224,2.88571108082007,3.65266971772578, ,-1.69818843846563,-1.61061459606418,1.71274222066409
E01000005,City of London 001E,E09000001,City of London,33.709,27.489,14.325,17.099,3.779,46.479,35.692,178.572, ,8.33905794065572,3.31949647797885,.561715753838627,9.60325760226759,5.23025413779682,17.1264874772692,1.61286152482679,.255560423793203, ,75.0515214659203,29.8754683018276,38.4130304090703,20.9210165511872,68.505949909077,3.07189912755231,1.78892296655227, ,-.971301216951267,-.442711668885617,-.149619199965375
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,18.916,14.954,13.833,9.285,38.356,58.401,30.41,184.155, ,9.62210094063291,3.86400661105761,.558866101251212,11.3551145177027,5.0262951459757,19.9030630490728,1.64022650634486,.138524686085721, ,86.5989084656964,34.7760594995099,45.420458070811,20.1051805839028,79.6122521962913,3.02400124234634,.969672802600051, ,1.26641360197362,-.397613162727796,-.103756348399153
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,50.109,41.902,8.681,21.655,58.088,97.234,35.167,312.836, ,8.98638692705488,3.41755042803692,.551080616862858,11.3017471910107,4.7109552791154,18.823803058676,1.52492866060285,.159509957865168, ,80.8774823434939,30.7579538523281,45.2069887640431,18.8438211164616,75.2952122347043,2.80173443909401,1.11656970505617, ,.368902608359177,-1.48513753092901,-.0922801244977464
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,47.843,33.775,27.21,22.586,29.844,86.55,26.107,273.915, ,10.2154526046987,3.91998375893755,.595860251532206,11.068979162411,4.83536210418795,19.0192706843715,1.44015628192031,.275112293156281, ,91.939073442287,35.2798538304414,44.2759166496441,19.3414484167518,76.0770827374863,2.65676813074565,1.92578605209398, ,1.15783756541467,-.444035493880526,2.02622804979504
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,34.068,25.023,12.252,28.742,57.182,64.366,35.247,256.88, ,9.56189832210797,3.71430060262365,.560182619933839,10.866330851944,4.97909665603202,19.5358137008153,1.55696472881959,.182740271180432, ,86.0570848989674,33.4287054236115,43.4653234077763,19.9163866241281,78.1432548032613,2.89775906888814,1.27918189826302, ,.831171911138163,-.59714799705319,.36748456236975
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,30.132,10.775,12.582,19.049,55.757,91.295,40.473,260.063, ,9.30574394608405,3.55579865210365,.647929166163109,10.5425150360208,5.19585452010225,18.9330883104803,1.5721854520102,.241237222867765, ,83.7516955147526,32.0021878689294,42.1700601440832,20.783418080409,75.7323532419213,2.91301138740415,1.68866056007436, ,.233831190250358,.48191537658398,.395458071338563
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,31.121,17.163,19.761,15.275,42.212,81.684,31.772,238.988, ,10.0659175630481,3.97968929464624,.565453892856089,10.8834543975416,5.04983850070799,20.1517557021901,1.58013588839672,.290772727710987, ,90.5932580674262,35.8172036518135,43.5338175901665,20.1993540028319,80.6070228087604,2.92107806803454,2.0354090939769, ,1.21464671387723,-.162397448192161,1.20770063059224
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,42.186,22.584,20.384,13.775,45.599,95.238,49.758,289.524, ,9.23743553778586,3.60652954927843,.604553491293588,10.74109724498,4.9925201546829,19.319872526271,1.57014922112259,.165637616394659, ,83.1369198400689,32.458765943503,42.9643889799201,19.9700806187316,77.2794901050843,2.89630683183679,1.15946331476261, ,.535598118941031,-.265465758542806,.0207762630925948
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,39.754,38.134,30.506,33.874,76.834,44.99,29.925,294.017, ,9.13107873624438,3.40487284345034,.596131203407921,9.9201330493433,5.23557543485975,18.8219297124602,1.57331984380545,.226762779552716, ,82.1797086261989,30.6438555910549,39.6805321973732,20.942301739439,75.2877188498411,2.97807028753991,1.58733945686901, ,-.143300969544913,.0486063642329441,.0609507841844684
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,38.265,32.601,34.522,27.814,77.468,47.788,25.385,283.843, ,10.9755395753421,3.69903030957899,.617725903614485,10.292826300719,4.95676751850445,18.2363488032847,1.45121562483114,.219481927710844, ,98.7798561780709,33.2912727862139,41.1713052028761,19.8270700740178,72.9453952131389,2.56288292182179,1.5363734939759, ,1.10186203613724,.21274848099508,1.94509780078895
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,48.626,35.777,28.289,28.329,32.799,74.569,27.091,275.48, ,9.12274940262852,3.30425940860202,.572149044205537,10.0951926523298,5.47358945639193,19.5075074671446,1.74694743130226,.190658132467144, ,82.1047446236565,29.7383346774198,40.3807706093195,21.8943578255677,78.0300298685785,3.17433094384706,1.33460692727001, ,-.0418807488147633,.416631230778137,-1.24521029260274
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,41.055,34.089,30.763,25.882,41.576,41.216,21.02,235.601, ,9.28381980342186,3.53427029486701,.545734915362227,9.48277593738619,5.61009373862403,17.7365689843467,1.55118310884599,.173492267928649, ,83.554378230798,31.8084326538038,37.9311037495447,22.4403749544961,70.9462759373869,2.89939934473969,1.21444587550054, ,-.193253031951443,.285940811407679,.268776724565821
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,48.318,44.221,29.963,40.401,41.941,43.911,24.288,273.043, ,9.82228163400907,3.52208623934443,.509867851212262,10.5658751245435,5.40361563157308,18.9766827189196,1.66616019041292,.188234918078158, ,88.4005347060755,31.6987761541032,42.2635004981741,21.6144625262923,75.9067308756785,3.14890955385808,1.3176444265471, ,.556971121540452,-.172704142970647,-.255990267072158
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,46.333,34.355,33.214,29.92,46.557,41.357,16.574,248.31, ,9.5293633369925,3.8710647639954,.563829835002773,12.4692137760705,4.73350576289791,20.3515525521403,1.52358946212953,.253521990944018, ,85.7642700329317,34.8395828759621,49.876855104282,18.9340230515916,81.4062102085612,2.80227771679472,1.77465393660812, ,1.3912227864738,-1.16644992981137,.838124797348685
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,43.399,37.989,26.903,19.18,52.125,37.494,18.764,235.854, ,9.99362429037334,3.84313208116907,.595638546322061,12.5002883802393,5.07560454161135,21.5142431271891,1.52833071627006,.129384769295808, ,89.9426186133589,34.5881887305246,50.0011535209574,20.3024181664454,86.0569725087566,2.85302572774485,.905693385070662, ,1.91594587062312,-.198317705096851,.157659376254493
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,37.903,32.242,27.419,34.671,32.005,40.257,21.612,226.109, ,9.41864081217066,3.78402264015384,.587488961128429,10.8752420939147,5.11422795879233,19.0745780426445,1.52419920939145,.140299833792524, ,84.7677673095318,34.0562037613822,43.500968375659,20.4569118351693,76.2983121705781,2.8218591279348,.982098836547678, ,.800262876969046,-.20489797342031,.429905878595999
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,46.495,36.604,32.284,32.633,49.241,46.375,48.038,291.67, ,9.05170962302811,3.53505961700569,.559110649765184,11.3050409490548,4.77760809346024,19.1260008430685,1.66175358304225,.19455491810189, ,81.4653866072495,31.8155365530555,45.2201637962194,19.1104323738409,76.5040033722743,3.03945802721904,1.36188442671323, ,.511193054959828,-1.03341310167993,-.440498089615587
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.153,34.65,30.81,20.97,31.175,43.953,23.203,218.914, ,8.84279124133105,3.46215054936482,.623070658653514,10.1480304683241,5.36511493805035,18.7368865425069,1.53461193797237,.249321069118677, ,79.5851211719773,31.1593549442865,40.5921218732966,21.4604597522014,74.9475461700276,2.85905945608976,1.74524748383074, ,-.26946135590077,.343811162506225,.287105127755873
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,49.447,25.291,28.815,27.066,76.161,46.096,30.543,283.419, ,9.16428347187347,3.58692943032577,.607178098078858,10.0956822707435,5.15672645799354,18.4653362460063,1.55452306142204,.15636910087632, ,82.4785512468666,32.2823648729184,40.382729082974,20.6269058319741,73.8613449840253,2.87313075872678,1.09458370613424, ,.177465600112225,.0463050454860119,.158255265426654
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,35.465,28.36,30.929,28.846,23.382,43.317,24.592,214.891, ,9.60245642727378,3.86392399462744,.663832325985627,10.811646993759,5.74371494034919,22.9060124832093,1.65125582681517,.162861768981591, ,86.4221078454563,34.7753159516477,43.2465879750361,22.9748597613967,91.6240499328372,3.10550288377975,1.14003238287114, ,1.3343580216894,1.78954268511904,-.620278327456931
