LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,imd,V13,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V22,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V30,unhealthy,healthy,alchocl
E01000001,City of London 001A,E09000001,City of London,0.022,0.089,0.003,0.304,0.338,28.866,35.272,64.894, ,8.535148928,3.498749312,0.529091764,9.213734368,5.262428909,15.15801373,1.622652691,0.339168288, ,76.81634036,31.48874381,36.85493747,21.04971563,60.6320549,3.113037725,2.374178013, ,-1.231630791,-0.513972704,0.861870018
E01000002,City of London 001B,E09000001,City of London,0.045,0.106,0.006,0.288,0.284,27.319,38.868,66.916, ,8.054729232,3.159077395,0.520153427,8.337412229,5.351773925,14.35846636,1.69282162,0.429260857, ,72.49256309,28.43169655,33.34964892,21.4070957,57.43386546,3.233822011,3.004825998, ,-2.283629217,-0.495168022,0.466340207
E01000003,City of London 001C,E09000001,City of London,14.094,13.424,8.816,23.327,2.625,39.162,55.171,156.619, ,8.153756617,3.375788081,0.486433668,9.414936744,5.029519225,15.82025444,1.522522718,0.52180996, ,73.38380955,30.38209273,37.65974698,20.1180769,63.28101778,2.885711081,3.652669718, ,-1.698188438,-1.610614596,1.712742221
E01000005,City of London 001E,E09000001,City of London,33.709,27.489,14.325,17.099,3.779,46.479,35.692,178.572, ,8.339057941,3.319496478,0.561715754,9.603257602,5.230254138,17.12648748,1.612861525,0.255560424, ,75.05152147,29.8754683,38.41303041,20.92101655,68.50594991,3.071899128,1.788922967, ,-0.971301217,-0.442711669,-0.1496192
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,18.916,14.954,13.833,9.285,38.356,58.401,30.41,184.155, ,9.622100941,3.864006611,0.558866101,11.35511452,5.026295146,19.90306305,1.640226506,0.138524686, ,86.59890847,34.7760595,45.42045807,20.10518058,79.6122522,3.024001242,0.969672803, ,1.266413602,-0.397613163,-0.103756348
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,50.109,41.902,8.681,21.655,58.088,97.234,35.167,312.836, ,8.986386927,3.417550428,0.551080617,11.30174719,4.710955279,18.82380306,1.524928661,0.159509958, ,80.87748234,30.75795385,45.20698876,18.84382112,75.29521223,2.801734439,1.116569705, ,0.368902608,-1.485137531,-0.092280124
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,47.843,33.775,27.21,22.586,29.844,86.55,26.107,273.915, ,10.2154526,3.919983759,0.595860252,11.06897916,4.835362104,19.01927068,1.440156282,0.275112293, ,91.93907344,35.27985383,44.27591665,19.34144842,76.07708274,2.656768131,1.925786052, ,1.157837565,-0.444035494,2.02622805
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,34.068,25.023,12.252,28.742,57.182,64.366,35.247,256.88, ,9.561898322,3.714300603,0.56018262,10.86633085,4.979096656,19.5358137,1.556964729,0.182740271, ,86.0570849,33.42870542,43.46532341,19.91638662,78.1432548,2.897759069,1.279181898, ,0.831171911,-0.597147997,0.367484562
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,30.132,10.775,12.582,19.049,55.757,91.295,40.473,260.063, ,9.305743946,3.555798652,0.647929166,10.54251504,5.19585452,18.93308831,1.572185452,0.241237223, ,83.75169551,32.00218787,42.17006014,20.78341808,75.73235324,2.913011387,1.68866056, ,0.23383119,0.481915377,0.395458071
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,31.121,17.163,19.761,15.275,42.212,81.684,31.772,238.988, ,10.06591756,3.979689295,0.565453893,10.8834544,5.049838501,20.1517557,1.580135888,0.290772728, ,90.59325807,35.81720365,43.53381759,20.199354,80.60702281,2.921078068,2.035409094, ,1.214646714,-0.162397448,1.207700631
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,42.186,22.584,20.384,13.775,45.599,95.238,49.758,289.524, ,9.237435538,3.606529549,0.604553491,10.74109724,4.992520155,19.31987253,1.570149221,0.165637616, ,83.13691984,32.45876594,42.96438898,19.97008062,77.27949011,2.896306832,1.159463315, ,0.535598119,-0.265465759,0.020776263
